signal_date,status,reason,side,hold_sessions,entry_date,exit_date,expiration,strike,selection,entry_bid,entry_ask,entry_fill,exit_bid,exit_ask,exit_fill,fees,pnl_usd,return_on_premium,regime_trend,regime_vol,strategy_version
2009-09-25,rejected,no_chain_for_entry_date,call,10,2009-09-28,,,,,,,,,,,,,,,,
2009-10-01,rejected,no_chain_for_entry_date,call,10,2009-10-02,,,,,,,,,,,,,,,,
2009-10-02,rejected,no_chain_for_entry_date,call,10,2009-10-05,,,,,,,,,,,,,,,,
2009-10-23,rejected,no_chain_for_entry_date,call,10,2009-10-26,,,,,,,,,,,,,,,,
2009-10-26,rejected,no_chain_for_entry_date,call,10,2009-10-27,,,,,,,,,,,,,,,,
2009-10-27,rejected,no_chain_for_entry_date,call,10,2009-10-28,,,,,,,,,,,,,,,,
2009-11-03,rejected,no_chain_for_entry_date,call,10,2009-11-04,,,,,,,,,,,,,,,,
2009-11-27,rejected,no_chain_for_entry_date,call,10,2009-11-30,,,,,,,,,,,,,,,,
2009-12-17,rejected,no_chain_for_entry_date,call,10,2009-12-18,,,,,,,,,,,,,,,,
2009-12-31,rejected,no_chain_for_entry_date,call,10,2010-01-04,,,,,,,,,,,,,,,,
2010-01-21,rejected,no_chain_for_entry_date,call,10,2010-01-22,,,,,,,,,,,,,,,,
2010-01-26,rejected,no_chain_for_entry_date,call,10,2010-01-27,,,,,,,,,,,,,,,,
2010-04-19,rejected,no_chain_for_entry_date,call,10,2010-04-20,,,,,,,,,,,,,,,,
2010-04-28,rejected,no_chain_for_entry_date,call,10,2010-04-29,,,,,,,,,,,,,,,,
2010-05-04,rejected,no_chain_for_entry_date,call,10,2010-05-05,,,,,,,,,,,,,,,,
2010-05-05,rejected,no_chain_for_entry_date,call,10,2010-05-06,,,,,,,,,,,,,,,,
2010-09-23,rejected,no_chain_for_entry_date,call,10,2010-09-24,,,,,,,,,,,,,,,,
2010-11-12,rejected,no_chain_for_entry_date,call,10,2010-11-15,,,,,,,,,,,,,,,,
2010-11-15,rejected,no_chain_for_entry_date,call,10,2010-11-16,,,,,,,,,,,,,,,,
2010-11-16,rejected,no_chain_for_entry_date,call,10,2010-11-17,,,,,,,,,,,,,,,,
2010-11-17,rejected,no_chain_for_entry_date,call,10,2010-11-18,,,,,,,,,,,,,,,,
2010-11-23,rejected,no_chain_for_entry_date,call,10,2010-11-24,,,,,,,,,,,,,,,,
2010-11-30,rejected,no_chain_for_entry_date,call,10,2010-12-01,,,,,,,,,,,,,,,,
2011-01-28,rejected,no_chain_for_entry_date,call,10,2011-01-31,,,,,,,,,,,,,,,,
2011-02-22,rejected,no_chain_for_entry_date,call,10,2011-02-23,,,,,,,,,,,,,,,,
2011-02-23,rejected,no_chain_for_entry_date,call,10,2011-02-24,,,,,,,,,,,,,,,,
2011-02-24,rejected,no_chain_for_entry_date,call,10,2011-02-25,,,,,,,,,,,,,,,,
2011-03-10,rejected,no_chain_for_entry_date,call,10,2011-03-11,,,,,,,,,,,,,,,,
2011-05-04,rejected,no_chain_for_entry_date,call,10,2011-05-05,,,,,,,,,,,,,,,,
2011-05-05,rejected,no_chain_for_entry_date,call,10,2011-05-06,,,,,,,,,,,,,,,,
2011-05-06,rejected,no_chain_for_entry_date,call,10,2011-05-09,,,,,,,,,,,,,,,,
2011-05-13,rejected,no_chain_for_entry_date,call,10,2011-05-16,,,,,,,,,,,,,,,,
2011-05-17,rejected,no_chain_for_entry_date,call,10,2011-05-18,,,,,,,,,,,,,,,,
2011-05-23,rejected,no_chain_for_entry_date,call,10,2011-05-24,,,,,,,,,,,,,,,,
2011-05-24,rejected,no_chain_for_entry_date,call,10,2011-05-25,,,,,,,,,,,,,,,,
2011-06-02,rejected,no_chain_for_entry_date,call,10,2011-06-03,,,,,,,,,,,,,,,,
2011-06-03,rejected,no_chain_for_entry_date,call,10,2011-06-06,,,,,,,,,,,,,,,,
2011-06-17,rejected,no_chain_for_entry_date,call,10,2011-06-20,,,,,,,,,,,,,,,,
2011-06-24,rejected,no_chain_for_entry_date,call,10,2011-06-27,,,,,,,,,,,,,,,,
2011-07-11,rejected,no_chain_for_entry_date,call,10,2011-07-12,,,,,,,,,,,,,,,,
2011-07-12,rejected,no_chain_for_entry_date,call,10,2011-07-13,,,,,,,,,,,,,,,,
2011-07-13,rejected,no_chain_for_entry_date,call,10,2011-07-14,,,,,,,,,,,,,,,,
2012-03-06,rejected,no_chain_for_entry_date,call,10,2012-03-07,,,,,,,,,,,,,,,,
2012-03-07,rejected,no_chain_for_entry_date,call,10,2012-03-08,,,,,,,,,,,,,,,,
2012-04-05,rejected,no_chain_for_entry_date,call,10,2012-04-09,,,,,,,,,,,,,,,,
2012-04-09,rejected,no_chain_for_entry_date,call,10,2012-04-10,,,,,,,,,,,,,,,,
2012-04-10,rejected,no_chain_for_entry_date,call,10,2012-04-11,,,,,,,,,,,,,,,,
2012-04-11,rejected,no_chain_for_entry_date,call,10,2012-04-12,,,,,,,,,,,,,,,,
2012-05-04,rejected,no_chain_for_entry_date,call,10,2012-05-07,,,,,,,,,,,,,,,,
2012-05-07,rejected,no_chain_for_entry_date,call,10,2012-05-08,,,,,,,,,,,,,,,,
2012-05-08,rejected,no_chain_for_entry_date,call,10,2012-05-09,,,,,,,,,,,,,,,,
2012-05-14,rejected,no_chain_for_entry_date,call,10,2012-05-15,,,,,,,,,,,,,,,,
2012-05-15,rejected,no_chain_for_entry_date,call,10,2012-05-16,,,,,,,,,,,,,,,,
2012-05-16,rejected,no_chain_for_entry_date,call,10,2012-05-17,,,,,,,,,,,,,,,,
2012-05-17,rejected,no_chain_for_entry_date,call,10,2012-05-18,,,,,,,,,,,,,,,,
2012-05-18,rejected,no_chain_for_entry_date,call,10,2012-05-21,,,,,,,,,,,,,,,,
2012-06-01,rejected,no_chain_for_entry_date,call,10,2012-06-04,,,,,,,,,,,,,,,,
