date,spy_close,spy_adj_close,spy_ret3,sma200,vix,vix_ret3,vix3m,fwd_2s,fwd_3s,fwd_5s,fwd_10s,fwd_15s
2009-09-25,104.45,77.5339,-0.0245,65.98,25.61,0.1096,27.21,0.0148,0.0109,-0.0188,0.0269,0.0425
2009-10-01,102.97,76.4353,-0.0315,66.26,28.27,0.1363,28.33,0.0102,0.0247,0.0354,0.0655,0.0618
2009-10-02,102.49,76.079,-0.0331,66.31,28.68,0.1385,28.8,0.0295,0.0323,0.0465,0.0624,0.0545
2009-10-23,108.08,80.2285,-0.0103,67.42,22.27,0.0656,24.31,-0.0154,-0.034,-0.0418,-0.0088,0.0142
2009-10-26,106.91,79.36,-0.0122,67.49,24.31,0.0941,25.37,-0.0234,-0.0024,-0.0242,0.0249,0.0402
2009-10-27,106.42,78.9962,-0.0266,67.57,24.83,0.2001,25.46,0.0022,-0.0269,-0.0166,0.0298,0.0462
2009-11-03,104.65,77.6824,-0.0188,67.97,28.81,0.1636,28.87,0.021,0.0237,0.0472,0.0639,0.0606
2009-11-27,109.57,81.3345,-0.0113,69.66,24.85,0.1744,26.15,0.0158,0.0153,0.0131,0.0141,0.0113
2009-12-17,110.18,81.7873,-0.0151,71.57,22.51,0.0643,24.78,0.0159,0.0195,0.0264,0.0341,0.0469
2009-12-31,111.44,83.1679,-0.0114,72.89,21.68,0.0878,23.89,0.0197,0.0204,0.0281,0.0197,-0.015
2010-01-21,111.7,83.362,-0.0171,74.55,22.27,0.2434,23.15,-0.0173,-0.0214,-0.028,-0.0471,-0.032
2010-01-26,109.31,81.5783,-0.0214,74.85,24.55,0.1024,25.17,-0.0068,-0.0176,0.0098,-0.0191,0.0087
2010-04-19,119.81,89.7827,-0.0114,80.19,17.34,0.1123,19.79,0.0071,0.0101,0.0129,0.0045,-0.0305
2010-04-28,119.38,89.4605,-0.0199,81.05,21.08,0.2684,22.31,-0.0048,0.0081,-0.0214,-0.0162,-0.0638
2010-05-04,117.52,88.0667,-0.0276,81.47,23.84,0.2928,25.07,-0.039,-0.0533,-0.0144,-0.0436,-0.0825
2010-05-05,116.82,87.5421,-0.0167,81.56,24.91,0.1297,26.37,-0.0476,-0.0056,0.0054,-0.0433,-0.0826
2010-09-23,112.5,85.1594,-0.015,83.86,23.87,0.1102,26.16,0.0157,0.0193,0.0145,0.0301,0.0441
2010-11-12,120.2,90.9881,-0.0116,84.91,20.61,0.0802,22.93,-0.017,-0.0165,0.0007,-0.0087,0.0213
2010-11-15,120.03,90.8594,-0.017,84.96,20.2,0.0937,22.81,-0.0151,-0.0006,0.0013,-0.0128,0.0233
2010-11-16,118.16,89.4438,-0.0286,84.99,22.58,0.2114,24.08,0.0152,0.018,0.0025,0.0241,0.0433
2010-11-17,118.22,89.4892,-0.0165,85.03,21.76,0.0558,23.83,0.0175,0.0167,0.0167,0.0367,0.0469
2010-11-23,118.45,89.6634,-0.0126,85.25,20.63,0.1003,22.59,0.003,0.006,0.0216,0.0408,0.0477
2010-11-30,118.49,89.6936,-0.0142,85.44,23.54,0.2035,25.19,0.0343,0.0371,0.0366,0.0522,0.0638
2011-01-28,127.72,97.189,-0.0112,87.39,20.04,0.1393,20.59,0.0236,0.0217,0.0269,0.0422,0.0533
2011-02-22,131.83,100.3165,-0.0151,88.31,20.8,0.244,21.32,-0.0068,0.0038,-0.0068,0.0057,-0.0248
2011-02-23,131.02,99.7001,-0.0241,88.38,22.13,0.3339,22.47,0.01,0.0163,0.0015,0.0105,-0.0369
2011-02-24,130.93,99.6316,-0.0268,88.44,21.32,0.2976,22.26,0.017,0,0.0194,-0.0076,-0.0235
2011-03-10,129.94,98.8783,-0.0113,89.28,21.88,0.0591,22.76,0.0008,-0.0106,-0.0161,0.0118,0.0248
2011-05-04,134.83,103.045,-0.0117,93.02,17.08,0.158,19.44,-0.0047,-0.0008,-0.0029,-0.0035,-0.0181
2011-05-05,133.61,102.1126,-0.0192,93.13,18.2,0.1382,19.84,0.0083,0.0169,0.011,0.008,-0.0046
2011-05-06,134.2,102.5636,-0.0113,93.23,18.4,0.1018,19.91,0.0124,0.0018,-0.0012,-0.0044,-0.0051
2011-05-13,134.04,102.4413,-0.0135,93.72,17.07,0.0729,19.07,-0.0065,0.0024,-0.0032,-0.004,-0.0373
2011-05-17,133.17,101.7764,-0.0141,93.9,17.55,0.0948,19.45,0.0113,0.0033,-0.0092,-0.0098,-0.0357
2011-05-23,132.06,100.928,-0.0171,94.25,18.27,0.1257,19.79,0.0025,0.0071,0.0215,-0.0235,-0.0207
2011-05-24,131.95,100.8439,-0.0203,94.33,17.82,0.1482,19.17,0.008,0.0118,-0.0006,-0.0268,-0.0374
2011-06-02,131.73,100.6758,-0.0133,94.9,18.09,0.132,19.32,-0.0204,-0.021,-0.0177,-0.0336,-0.0212
2011-06-03,130.42,99.6746,-0.0332,94.99,17.95,0.1618,19.47,-0.0112,-0.0153,-0.0216,-0.021,-0.0229
2011-06-17,127.05,97.5805,-0.0127,95.88,21.85,0.1966,22.44,0.0189,0.0128,-0.0019,0.0541,0.0387
2011-06-24,126.81,97.3962,-0.0204,96.26,21.1,0.1188,21.92,0.0221,0.0308,0.0561,0.0407,0.03
2011-07-11,131.97,101.3593,-0.0149,97.08,18.39,0.1255,19.98,-0.001,-0.0079,-0.0103,0.0141,-0.0242
2011-07-12,131.4,100.9215,-0.0293,97.15,19.87,0.2458,20.93,-0.0036,0.0022,0.0101,0.0147,-0.045
2011-07-13,131.84,101.2594,-0.019,97.23,19.91,0.2483,20.85,-0.0011,-0.0093,0.0061,-0.0094,-0.043
2012-03-06,134.75,104.6897,-0.0216,97.24,20.87,0.2092,23.9,0.017,0.0209,0.0394,0.0468,0.0522
2012-03-07,135.69,105.42,-0.0118,97.26,19.07,0.1029,22.72,0.0139,0.0139,0.0311,0.0378,0.0398
2012-04-05,139.79,109.0813,-0.0145,98.28,16.7,0.0678,19.82,-0.0278,-0.02,-0.019,-0.0132,0.0043
