signal_date,structure,hold_sessions,status,reason,entry_date,exit_date,expiration,legs,net_entry_usd,net_exit_usd,risk_usd,pnl_usd,return_on_risk
2009-09-25,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-01,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-02,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-23,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-26,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-27,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-03,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-27,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-17,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-31,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-21,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-26,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-19,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-28,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-04,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-05,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-09-23,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-12,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-15,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-16,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-17,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-23,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-30,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
2011-01-28,long_call,10,rejected,no_chain_for_entry_date,,,,,,,,,
