signal_date,structure,hold_sessions,status,reason,entry_date,exit_date,expiration,legs,net_entry_usd,net_exit_usd,risk_usd,pnl_usd,return_on_risk
2009-09-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-10-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-11-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2009-12-31,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-01-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-04-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-05-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-09-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2010-11-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-01-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-02-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-03-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-05-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-06-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-06-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-06-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-06-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-07-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-07-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2011-07-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-03-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-03-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-04-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-04-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-04-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-04-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-14,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-05-18,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-06-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-06-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-06-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-06-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-07-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-07-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-07-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-07-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-07-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-08-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-09-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-09-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-10-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-11-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-11-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-12-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2012-12-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-02-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-04-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-04-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-04-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-04-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-05-31,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-06-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-06-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-06-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-06-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-06-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-08-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-09-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-09-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-11-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-12-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-12-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2013-12-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-01-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-03-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-03-14,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-04-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-04-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-04-14,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-05-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-06-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-08-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-08-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-09-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-09-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-09-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-10-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-12-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-12-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-12-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2014-12-31,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-01-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-03-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-04-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-05-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-05-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-05-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-06-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-06-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-06-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-07-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-07-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-07-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-11-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-11-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-11-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-12-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-12-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2015-12-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-04-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-04-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-04-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-05-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-05-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-05-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-06-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-06-14,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-06-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-06-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-09-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-09-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-09-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-10-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-10-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-11-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2016-12-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-03-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-03-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-03-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-05-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-05-18,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-08-10,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-08-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-08-17,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-08-18,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2017-08-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-01-31,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-02-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-14,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-20,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-03-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-04-20,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-04-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-04-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-05-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-06-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-06-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-07-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-08-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-10-05,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-10-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2018-10-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-03-06,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-03-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-03-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-03-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-03-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-05-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-05-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-05-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-05-30,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-06-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-06-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-07-31,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-07,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-16,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-08-27,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-09-24,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-10-01,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-10-02,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-10-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-10-09,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2019-12-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-01-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-06-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-06-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-06-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-09-03,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-09-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-09-08,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-09-21,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-09-23,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-10-15,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-10-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-10-20,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2020-12-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-01-28,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-01-29,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-02-22,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-02-25,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-02-26,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-03-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-03-18,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-03-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-05-04,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-05-11,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-05-12,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-05-13,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-05-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-06-18,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
2021-07-19,put_credit_spread,5,rejected,no_chain_for_entry_date,,,,,,,,,
